,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Hyundai,EonERA PLUS,307299,2016,Hyderabad,Petrol,10674,Manual,2,6836
1,Hyundai,i10MAGNA 1.1 IRDE2,347599,2013,Hyderabad,Petrol,37003,Manual,3,7732
2,Maruti,AltoLXI,224499,2011,Hyderabad,Petrol,23837,Manual,1,4994
3,Maruti,AltoLXI,234799,2012,Hyderabad,Petrol,37800,Manual,1,5223
4,Maruti,Wagon R 1.0VXI,334999,2012,Hyderabad,Petrol,14631,Manual,1,7452
5,Maruti,Alto 800LXI OPT,338099,2017,Hyderabad,Petrol,7995,Manual,1,7521
6,Maruti,Alto 800LXI,260599,2013,Hyderabad,Petrol,31384,Manual,1,5797
7,Hyundai,Santro XingGLS,305899,2013,Hyderabad,Petrol,22856,Manual,1,6805
8,Maruti,Alto K10VXI,341299,2017,Hyderabad,Petrol,24809,Manual,2,7592
9,Maruti,Eeco5 STR WITH AC PLUSHTR,413699,2019,Hyderabad,Petrol,17802,Manual,1,9203
10,Maruti,Eeco5 STR WITH AC PLUSHTR,465299,2019,Hyderabad,Petrol,9128,Manual,1,10350
11,Maruti,Alto 800LXI,248799,2012,Hyderabad,Petrol,44791,Manual,2,5534
12,Maruti,Alto 800LXI,286499,2016,Hyderabad,Petrol,20215,Manual,2,6373
13,Hyundai,i10MAGNA 1.2 KAPPA2,313499,2012,Hyderabad,Petrol,50097,Manual,2,6974
14,Maruti,Alto K10VXI,248299,2013,Hyderabad,Petrol,44958,Manual,2,5523
15,Maruti,BalenoDELTA 1.2 K12,548799,2016,Hyderabad,Petrol,33768,Manual,1,12208
16,Maruti,Alto 800LXI,334599,2018,Hyderabad,Petrol,18313,Manual,1,7443
17,Maruti,Alto 800LXI,246899,2013,Hyderabad,Petrol,42131,Manual,1,5492
18,Hyundai,i10MAGNA 1.2,291099,2010,Hyderabad,Petrol,55317,Manual,1,6475
19,Maruti,Wagon R 1.0VXI OPT,437099,2018,Hyderabad,Petrol,19727,Manual,2,9723
20,Honda,Brio1.2 V MT I VTEC,373399,2012,Hyderabad,Petrol,58839,Manual,2,8306
21,Maruti,Eeco5 STR WITH AC PLUSHTR,439599,2019,Hyderabad,Petrol,15398,Manual,1,9779
22,Maruti,Eeco5 STR WITH AC PLUSHTR,472099,2019,Hyderabad,Petrol,9338,Manual,2,10502
23,Honda,CityV MT PETROL,556299,2014,Hyderabad,Petrol,40511,Manual,1,12375
24,Maruti,AltoLXI,162799,2009,Hyderabad,Petrol,74115,Manual,2,3621
25,Hyundai,Elite i20ASTA 1.2 (O),644199,2016,Hyderabad,Petrol,38036,Manual,1,14330
26,Maruti,Alto 800LXI,330999,2019,Hyderabad,Petrol,30782,Manual,1,7363
27,Maruti,SwiftVXI,600199,2018,Hyderabad,Petrol,19527,Manual,2,13351
28,Hyundai,i10SPORTZ 1.2 AT KAPPA2,311799,2011,Hyderabad,Petrol,73802,Automatic,2,6936
29,Honda,Brio1.2 V MT I VTEC,345399,2012,Hyderabad,Petrol,58363,Manual,1,7683
30,Tata,TiagoXT 1.2 REVOTRON,437899,2018,Hyderabad,Petrol,23745,Manual,1,9741
31,Datsun,Redi GoT (O),315499,2018,Hyderabad,Petrol,28090,Manual,1,7018
32,Maruti,Swift DzireVXI 1.2 BS IV,488999,2015,Hyderabad,Petrol,60966,Manual,2,10878
33,Maruti,Wagon R 1.0VXI,385199,2017,Hyderabad,Petrol,42383,Manual,2,8569
34,Tata,,542299,2019,Hyderabad,Petrol,24296,,1,12063
35,Maruti,Alto K10VXI,214799,2010,Hyderabad,Petrol,86328,Manual,2,4778
36,Maruti,Eeco5 STR WITH AC PLUSHTR,445899,2019,Hyderabad,Petrol,21402,Manual,1,9919
37,Maruti,Eeco5 STR WITH AC PLUSHTR,441699,2019,Hyderabad,Petrol,23410,Manual,1,9825
38,Maruti,Alto 800LXI OPT,303599,2017,Hyderabad,Petrol,39752,Manual,1,6753
39,Maruti,Alto K10VXI,314599,2017,Hyderabad,Petrol,84937,Manual,1,6998
40,Hyundai,Grand i10SPORTZ (O) 1.2 AT VTVT,537299,2017,Hyderabad,Petrol,39524,Manual,1,11952
41,Hyundai,Santro XingGLS,223499,2010,Hyderabad,Petrol,74111,Manual,1,4972
42,Maruti,Alto 800LXI,308199,2018,Hyderabad,Petrol,51080,Manual,1,6856
43,Maruti,S PRESSOVXI PLUS,474299,2019,Hyderabad,Petrol,29101,Manual,1,10551
44,Hyundai,Elite i20SPORTZ 1.2,586899,2017,Hyderabad,Petrol,38526,Manual,2,13055
45,Hyundai,i10MAGNA 1.2,215599,2009,Hyderabad,Petrol,94523,Manual,2,4796
46,Maruti,Alto 800LXI,317699,2019,Hyderabad,Petrol,36984,Manual,1,7067
47,Renault,,456399,2019,Hyderabad,Petrol,26952,,1,10152
48,Maruti,AltoLXI,202499,2010,Hyderabad,Petrol,71227,Manual,1,4504
49,Hyundai,Santro XingGLS,195799,2008,Hyderabad,Petrol,65391,Manual,1,4355
50,Hyundai,i20 Active1.2 S,565199,2016,Hyderabad,Petrol,59416,Manual,1,12573
51,Hyundai,Santro XingGL PLUS,224499,2011,Hyderabad,Petrol,88944,Manual,1,4994
52,Hyundai,i10SPORTZ 1.2 AT KAPPA2,330699,2011,Hyderabad,Petrol,78316,Automatic,1,7356
53,Maruti,BalenoDELTA 1.2 K12,573699,2017,Hyderabad,Petrol,44103,Manual,1,12762
54,Renault,KwidRXT 1.0 EASY-R AT OPTION,478899,2019,Hyderabad,Petrol,31710,Automatic,1,10653
55,Maruti,Zen EstiloLXI,210299,2009,Hyderabad,Petrol,95532,Manual,2,4678
56,Maruti,SwiftLDI,250799,2009,Hyderabad,Diesel,90273,Manual,1,5579
57,Maruti,Alto K10LXI,211799,2012,Hyderabad,Petrol,81849,Manual,2,4711
